ItemNumber,NestID,Length_mm,AssignedBeam_mm,BeamIndex,WasteOnBeam_mm,OldWaste_mm
04101,9794,2960,6000,14016,3037,2988
03143,9795,408,6000,14017,5589,5674
04818,9796,2720,6000,14018,3277,1596
04819,9797,2460,6000,14019,1120,1126
04820,9797,2414,6000,14019,1120,1126
04817,9798,4721,6000,14020,1276,1279
04821,9799,4720,6000,14021,1277,1280
04822,9800,2315,6000,14022,3682,3685
03378,9801,538,6000,14023,4918,4515
03703,9801,538,6000,14023,4918,2188
02495,9802,475,6000,14024,5522,5175
04469,9803,493,6000,14025,5504,2986
03285,9804,220,6000,14026,5777,
04411,9805,495,6000,14027,5502,4055
04459,9806,516,6000,14028,2081,1041
00812,9806,494,6000,14028,2081,5773
00818,9806,494,6000,14028,2081,
01409,9806,494,6000,14028,2081,
00815,9806,394,6000,14028,2081,3268
00816,9806,394,6000,14028,2081,2797
00819,9806,300,6000,14028,2081,
04410,9806,288,6000,14028,2081,4055
00817,9806,245,6000,14028,2081,2
03209,9806,135,6000,14028,2081,2497
04584,9806,132,6000,14028,2081,
04585,9807,543,6000,14029,1969,134
02688,9807,497,6000,14029,1969,5968
02638,9807,496,6000,14029,1969,2494
01062,9807,495,6000,14029,1969,
04406,9807,495,6000,14029,1969,
04407,9807,495,6000,14029,1969,134
04413,9807,493,6000,14029,1969,134
04528,9807,493,6000,14029,1969,134
02636,9808,468,6000,14030,4665,338
02637,9808,468,6000,14030,4665,
04408,9808,390,6000,14030,4665,4674
02144,9809,255,6000,14031,3442,
04022,9809,178,6000,14031,3442,1
04068,9809,174,6000,14031,3442,
04072,9809,174,6000,14031,3442,2275
04075,9809,174,6000,14031,3442,
04076,9809,174,6000,14031,3442,3940
04077,9809,174,6000,14031,3442,
04078,9809,174,6000,14031,3442,
04079,9809,174,6000,14031,3442,
04081,9809,174,6000,14031,3442,
04093,9809,174,6000,14031,3442,
04094,9809,174,6000,14031,3442,
04095,9809,174,6000,14031,3442,1
03474,9809,169,6000,14031,3442,744
04507,9810,240,6000,14032,3575,2528
01351,9810,234,6000,14032,3575,3628
03755,9810,206,6000,14032,3575,63
03753,9810,193,6000,14032,3575,2268
03754,9810,187,6000,14032,3575,
04096,9810,174,6000,14032,3575,1512
04097,9810,174,6000,14032,3575,
04098,9810,174,6000,14032,3575,204
04099,9810,174,6000,14032,3575,
04100,9810,174,6000,14032,3575,
04101,9810,174,6000,14032,3575,2988
04102,9810,174,6000,14032,3575,
04021,9810,108,6000,14032,3575,2
03287,9811,554,6000,14033,3657,2494
03472,9811,410,6000,14033,3657,1449
04016,9811,228,6000,14033,3657,3992
01417,9811,201,6000,14033,3657,328
01614,9811,189,6000,14033,3657,1500
01931,9811,188,6000,14033,3657,729
03600,9811,182,6000,14033,3657,
01332,9811,182,6000,14033,3657,
01936,9811,182,6000,14033,3657,2126
01414,9812,598,6000,14034,3789,1
00963,9812,412,6000,14034,3789,3838
01628,9812,355,6000,14034,3789,2
03757,9812,252,6000,14034,3789,758
04106,9812,233,6000,14034,3789,
04107,9812,233,6000,14034,3789,103
04019,9812,107,6000,14034,3789,
03251,9813,554,6000,14035,3789,6446
01406,9813,498,6000,14035,3789,9563
03756,9813,253,6000,14035,3789,2
04105,9813,233,6000,14035,3789,
04108,9813,233,6000,14035,3789,
04109,9813,233,6000,14035,3789,103
04011,9813,186,6000,14035,3789,
02368,9814,559,6000,14036,3795,904
01032,9814,499,6000,14036,3795,3211
01094,9814,436,6000,14036,3795,211
01416,9814,411,6000,14036,3795,2276
03559,9814,285,6000,14036,3795,286
02369,9815,582,6000,14037,3819,921
01716,9815,515,6000,14037,3819,2599
01036,9815,437,6000,14037,3819,2
04018,9815,347,6000,14037,3819,
03397,9815,285,6000,14037,3819,4215
01715,9816,515,6000,14038,3819,7085
03241,9816,494,6000,14038,3819,3906
04012,9816,408,6000,14038,3819,
01132,9816,386,6000,14038,3819,25
01037,9816,363,6000,14038,3819,5576
01400,9817,742,6000,14039,3822,
01713,9817,515,6000,14039,3822,7085
01031,9817,499,6000,14039,3822,11
01714,9817,410,6000,14039,3822,2045
01711,9818,515,6000,14040,3819,2599
01026,9818,500,6000,14040,3819,15
01093,9818,469,6000,14040,3819,250
01133,9818,341,6000,14040,3819,4887
01135,9818,341,6000,14040,3819,32
01420,9819,841,6000,14041,3822,1
03759,9819,492,6000,14041,3822,758
04414,9819,492,6000,14041,3822,
01126,9819,341,6000,14041,3822,400
02056,9820,559,6000,14042,3911,25
03758,9820,492,6000,14042,3911,
01112,9820,341,6000,14042,3911,2348
01114,9820,341,6000,14042,3911,235
01115,9820,341,6000,14042,3911,120
00018,9821,1585,6000,14043,83,4406
01323,9821,1063,6000,14043,83,7
01381,9821,1047,6000,14043,83,9
01405,9821,857,6000,14043,83,22
01437,9821,765,6000,14043,83,22
01030,9821,582,6000,14043,83,11
01438,9821,765,6000,14044,3887,22
01111,9821,462,6000,14044,3887,9
01033,9821,462,6000,14044,3887,
00886,9821,412,6000,14044,3887,765
04015,9822,1482,6000,14045,445,1608
01613,9822,994,6000,14045,445,519
01615,9822,994,6000,14045,445,3095
02423,9822,576,6000,14045,445,
01023,9822,500,6000,14045,445,758
01076,9822,494,6000,14045,445,36
01412,9822,494,6000,14045,445,3804
01717,9822,494,6000,14046,3519,7085
01718,9822,494,6000,14046,3519,1
02143,9822,494,6000,14046,3519,4146
03064,9822,492,6000,14046,3519,2548
03065,9822,492,6000,14046,3519,
01422,9823,2006,6000,14047,299,5750
